100
RAM1[1], Disco1[1], CPU1[1], Disp1, Seg1, RAM2[1], Disco2[1], CPU2[1], Disp2, Seg2, RAM3[1], Disco3[1], CPU3[1], Disp3, Seg3, RAM4[1], Disco4[1], CPU4[1], Disp4, Seg4, RAM5[1], Disco5[1], CPU5[1], Disp5, Seg5, Custo
HB, HB, HB, HB, NB, HB, HB, HB, HB, NB, HB, HB, HB, HB, NB, HB, HB, HB, HB, NB, HB, HB, HB, HB, NB, LB
1	2	4	8	16	32	64	32	16	8	1	2	4	8	16	32	64	32	16	8	1	2	4	8	16	32	64	32	16	8	1	2	4	8	16	32	64	32	16	8	1	2	4	8	16	32	64	32	16	8	1	2	4	8	16	32	64	32	16	8	1	2	4	8	16	32	64	32	16	8	1	2	4	8	16	32	64	32	16	8	1	2	4	8	16	32	64	32	16	8	1	2	4	8	16	32	64	32	16	8
5	20	40	25	50	100	200	150	20	10	5	20	40	25	50	100	200	150	20	10	5	20	40	25	50	100	200	150	20	10	5	20	40	25	50	100	200	150	20	10	5	20	40	25	50	100	200	150	20	10	5	20	40	25	50	100	200	150	20	10	5	20	40	25	50	100	200	150	20	10	5	20	40	25	50	100	200	150	20	10	5	20	40	25	50	100	200	150	20	10	5	20	40	25	50	100	200	150	20	10
2.0	2.5	3.5	4.0	5.5	6.0	10.0	8.0	7.0	5.0	2.0	2.5	3.5	4.0	5.5	6.0	10.0	8.0	7.0	5.0	2.0	2.5	3.5	4.0	5.5	6.0	10.0	8.0	7.0	5.0	2.0	2.5	3.5	4.0	5.5	6.0	10.0	8.0	7.0	5.0	2.0	2.5	3.5	4.0	5.5	6.0	10.0	8.0	7.0	5.0	2.0	2.5	3.5	4.0	5.5	6.0	10.0	8.0	7.0	5.0	2.0	2.5	3.5	4.0	5.5	6.0	10.0	8.0	7.0	5.0	2.0	2.5	3.5	4.0	5.5	6.0	10.0	8.0	7.0	5.0	2.0	2.5	3.5	4.0	5.5	6.0	10.0	8.0	7.0	5.0	2.0	2.5	3.5	4.0	5.5	6.0	10.0	8.0	7.0	5.0
99.99	95.20	98.30	96.80	97.90	98.90	99.30	98.50	96.40	97.50	99.99	95.20	98.30	96.80	97.90	98.90	99.30	98.50	96.40	97.50	99.99	95.20	98.30	96.80	97.90	98.90	99.30	98.50	96.40	97.50	99.99	95.20	98.30	96.80	97.90	98.90	99.30	98.50	96.40	97.50	99.99	95.20	98.30	96.80	97.90	98.90	99.30	98.50	96.40	97.50	99.99	95.20	98.30	96.80	97.90	98.90	99.30	98.50	96.40	97.50	99.99	95.20	98.30	96.80	97.90	98.90	99.30	98.50	96.40	97.50	99.99	95.20	98.30	96.80	97.90	98.90	99.30	98.50	96.40	97.50	99.99	95.20	98.30	96.80	97.90	98.90	99.30	98.50	96.40	97.50	99.99	95.20	98.30	96.80	97.90	98.90	99.30	98.50	96.40	97.50
1	2	2	3	3	5	4	4	3	4	1	2	2	3	3	5	4	4	3	4	1	2	2	3	3	5	4	4	3	4	1	2	2	3	3	5	4	4	3	4	1	2	2	3	3	5	4	4	3	4	1	2	2	3	3	5	4	4	3	4	1	2	2	3	3	5	4	4	3	4	1	2	2	3	3	5	4	4	3	4	1	2	2	3	3	5	4	4	3	4	1	2	2	3	3	5	4	4	3	4
1	2	4	8	16	32	64	32	16	8	1	2	4	8	16	32	64	32	16	8	1	2	4	8	16	32	64	32	16	8	1	2	4	8	16	32	64	32	16	8	1	2	4	8	16	32	64	32	16	8	1	2	4	8	16	32	64	32	16	8	1	2	4	8	16	32	64	32	16	8	1	2	4	8	16	32	64	32	16	8	1	2	4	8	16	32	64	32	16	8	1	2	4	8	16	32	64	32	16	8
5	20	40	25	50	100	200	150	20	10	5	20	40	25	50	100	200	150	20	10	5	20	40	25	50	100	200	150	20	10	5	20	40	25	50	100	200	150	20	10	5	20	40	25	50	100	200	150	20	10	5	20	40	25	50	100	200	150	20	10	5	20	40	25	50	100	200	150	20	10	5	20	40	25	50	100	200	150	20	10	5	20	40	25	50	100	200	150	20	10	5	20	40	25	50	100	200	150	20	10
2.0	2.5	3.5	4.0	5.5	6.0	10.0	8.0	7.0	5.0	2.0	2.5	3.5	4.0	5.5	6.0	10.0	8.0	7.0	5.0	2.0	2.5	3.5	4.0	5.5	6.0	10.0	8.0	7.0	5.0	2.0	2.5	3.5	4.0	5.5	6.0	10.0	8.0	7.0	5.0	2.0	2.5	3.5	4.0	5.5	6.0	10.0	8.0	7.0	5.0	2.0	2.5	3.5	4.0	5.5	6.0	10.0	8.0	7.0	5.0	2.0	2.5	3.5	4.0	5.5	6.0	10.0	8.0	7.0	5.0	2.0	2.5	3.5	4.0	5.5	6.0	10.0	8.0	7.0	5.0	2.0	2.5	3.5	4.0	5.5	6.0	10.0	8.0	7.0	5.0	2.0	2.5	3.5	4.0	5.5	6.0	10.0	8.0	7.0	5.0
99.99	95.20	98.30	96.80	97.90	98.90	99.30	98.50	96.40	97.50	99.99	95.20	98.30	96.80	97.90	98.90	99.30	98.50	96.40	97.50	99.99	95.20	98.30	96.80	97.90	98.90	99.30	98.50	96.40	97.50	99.99	95.20	98.30	96.80	97.90	98.90	99.30	98.50	96.40	97.50	99.99	95.20	98.30	96.80	97.90	98.90	99.30	98.50	96.40	97.50	99.99	95.20	98.30	96.80	97.90	98.90	99.30	98.50	96.40	97.50	99.99	95.20	98.30	96.80	97.90	98.90	99.30	98.50	96.40	97.50	99.99	95.20	98.30	96.80	97.90	98.90	99.30	98.50	96.40	97.50	99.99	95.20	98.30	96.80	97.90	98.90	99.30	98.50	96.40	97.50	99.99	95.20	98.30	96.80	97.90	98.90	99.30	98.50	96.40	97.50
1	2	2	3	3	5	4	4	3	4	1	2	2	3	3	5	4	4	3	4	1	2	2	3	3	5	4	4	3	4	1	2	2	3	3	5	4	4	3	4	1	2	2	3	3	5	4	4	3	4	1	2	2	3	3	5	4	4	3	4	1	2	2	3	3	5	4	4	3	4	1	2	2	3	3	5	4	4	3	4	1	2	2	3	3	5	4	4	3	4	1	2	2	3	3	5	4	4	3	4
1	2	4	8	16	32	64	32	16	8	1	2	4	8	16	32	64	32	16	8	1	2	4	8	16	32	64	32	16	8	1	2	4	8	16	32	64	32	16	8	1	2	4	8	16	32	64	32	16	8	1	2	4	8	16	32	64	32	16	8	1	2	4	8	16	32	64	32	16	8	1	2	4	8	16	32	64	32	16	8	1	2	4	8	16	32	64	32	16	8	1	2	4	8	16	32	64	32	16	8
5	20	40	25	50	100	200	150	20	10	5	20	40	25	50	100	200	150	20	10	5	20	40	25	50	100	200	150	20	10	5	20	40	25	50	100	200	150	20	10	5	20	40	25	50	100	200	150	20	10	5	20	40	25	50	100	200	150	20	10	5	20	40	25	50	100	200	150	20	10	5	20	40	25	50	100	200	150	20	10	5	20	40	25	50	100	200	150	20	10	5	20	40	25	50	100	200	150	20	10
2.0	2.5	3.5	4.0	5.5	6.0	10.0	8.0	7.0	5.0	2.0	2.5	3.5	4.0	5.5	6.0	10.0	8.0	7.0	5.0	2.0	2.5	3.5	4.0	5.5	6.0	10.0	8.0	7.0	5.0	2.0	2.5	3.5	4.0	5.5	6.0	10.0	8.0	7.0	5.0	2.0	2.5	3.5	4.0	5.5	6.0	10.0	8.0	7.0	5.0	2.0	2.5	3.5	4.0	5.5	6.0	10.0	8.0	7.0	5.0	2.0	2.5	3.5	4.0	5.5	6.0	10.0	8.0	7.0	5.0	2.0	2.5	3.5	4.0	5.5	6.0	10.0	8.0	7.0	5.0	2.0	2.5	3.5	4.0	5.5	6.0	10.0	8.0	7.0	5.0	2.0	2.5	3.5	4.0	5.5	6.0	10.0	8.0	7.0	5.0
99.99	95.20	98.30	96.80	97.90	98.90	99.30	98.50	96.40	97.50	99.99	95.20	98.30	96.80	97.90	98.90	99.30	98.50	96.40	97.50	99.99	95.20	98.30	96.80	97.90	98.90	99.30	98.50	96.40	97.50	99.99	95.20	98.30	96.80	97.90	98.90	99.30	98.50	96.40	97.50	99.99	95.20	98.30	96.80	97.90	98.90	99.30	98.50	96.40	97.50	99.99	95.20	98.30	96.80	97.90	98.90	99.30	98.50	96.40	97.50	99.99	95.20	98.30	96.80	97.90	98.90	99.30	98.50	96.40	97.50	99.99	95.20	98.30	96.80	97.90	98.90	99.30	98.50	96.40	97.50	99.99	95.20	98.30	96.80	97.90	98.90	99.30	98.50	96.40	97.50	99.99	95.20	98.30	96.80	97.90	98.90	99.30	98.50	96.40	97.50
1	2	2	3	3	5	4	4	3	4	1	2	2	3	3	5	4	4	3	4	1	2	2	3	3	5	4	4	3	4	1	2	2	3	3	5	4	4	3	4	1	2	2	3	3	5	4	4	3	4	1	2	2	3	3	5	4	4	3	4	1	2	2	3	3	5	4	4	3	4	1	2	2	3	3	5	4	4	3	4	1	2	2	3	3	5	4	4	3	4	1	2	2	3	3	5	4	4	3	4
0.5	1.25	2.5	3.8	4.5	7.5	10.0	8.25	7.8	6.5	0.5	1.25	2.5	3.8	4.5	7.5	10.0	8.25	7.8	6.5	0.5	1.25	2.5	3.8	4.5	7.5	10.0	8.25	7.8	6.5	0.5	1.25	2.5	3.8	4.5	7.5	10.0	8.25	7.8	6.5	0.5	1.25	2.5	3.8	4.5	7.5	10.0	8.25	7.8	6.5	0.5	1.25	2.5	3.8	4.5	7.5	10.0	8.25	7.8	6.5	0.5	1.25	2.5	3.8	4.5	7.5	10.0	8.25	7.8	6.5	0.5	1.25	2.5	3.8	4.5	7.5	10.0	8.25	7.8	6.5	0.5	1.25	2.5	3.8	4.5	7.5	10.0	8.25	7.8	6.5	0.5	1.25	2.5	3.8	4.5	7.5	10.0	8.25	7.8	6.5	
